from,to
 michelle obama , michelleobama 
 michelle , michelleobama 
 hillary (rodham )?clinton , hillaryclinton 
 (secretrary )?clinton , hillaryclinton 
 hillary , hillaryclinton 
 donald (j )?trump ,  donaldtrump 
 trump ,  donaldtrump 
 donald ,  donaldtrump 
 (president )?barack obama , barackobama 
 (president )?obama , barackobama 
 barack , barackobama 
 obama , barackobama 
 (senator )?bernie sanders , berniesanders 
 (senator )?sander(s)? , berniesanders 
 bernie , berniesanders 
 sander , berniesanders 
 (sentaor )?ted cruz , tedcruz 
 (senator )?cruz , tedcruz 
 ted , tedcruz 
 (governor )?chris christie , chrischristie 
 (governor )?christie , chrischristie 
 (governor )?john kasich , johnkasich 
 (governor )?kasich , johnkasich 
 (senator )?marco rubio , marcorubio 
 (senator )?rubio , marcorubio 
 marco , marcorubio 
 (governor )?scott walker , scottwalker 
 (governor )?walker , scottwalker 
 (vice president )?joe biden , joebiden 
 biden , joebiden 
 al qaeda , alqaeda 
 white house , whitehouse 
 united nations , unitednations 
 u.?n.? , unitednations 
 i.?s.?i.?s.? , isis 
 make america great again , maga 
 m.?a.?g.?a.? , maga 
 prime minister , primeminister 
 commander in chief , commanderinchief 
 united states( of america)? , unitedstates 
 u.?s.?a.? , unitedstates 
 new york , newyork 
 soviet union , sovietunion 
 north korea , northkorea 
 i.?s.?i.?l.? , isis 
 islamic state , isis 
 trans(-)?( )?pacific partnership , tpp 
 t.?p.?p.? ,tpp
 paul ryan ,paulryan
 ryan ,paulryan
 don ,  donaldtrump 
 mike pence , mikepence 
 j.?p.? morgan , jpmorgan 
 wall street , wallstreet 
 supreme court , supremecourt 
 new hampshire , newhampshire 
 middle class , middleclass 
 n.?a.?f.?t.?a.? , nafta 
 i[[:punct:]]ll , illl 
 clinton's , hillaryclinton 
